Date,index,FX,GDP,CPI,RFR,UR,BOP,GFCF
01/03/07,26647.65039,11.1595,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
02/03/07,26321.11914,11.128,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
05/03/07,25788.36914,11.162,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
06/03/07,26355.64063,11.121,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
07/03/07,26184.39063,11.1893,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
08/03/07,26773.78906,11.151,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
09/03/07,27106.5293,11.068,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
12/03/07,27261.16992,11.124,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
13/03/07,26589.19922,11.18,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
14/03/07,26719.32031,11.1353,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
15/03/07,26883.5293,11.1443,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
16/03/07,26901.41992,11.1923,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
19/03/07,null,11.1333,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
20/03/07,27407.46094,11.096,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
21/03/07,28219.55078,11,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
22/03/07,28258.80078,10.9777,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
23/03/07,28272.0293,10.974,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
26/03/07,28158.9707,10.978,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
27/03/07,28124.33008,11.0562,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
28/03/07,28098.2793,11.0582,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
29/03/07,28704.24023,11.0168,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
30/03/07,28747.68945,10.997,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
02/04/07,29171.51953,11.0105,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
03/04/07,29348.08984,10.931,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
04/04/07,29370.93945,10.9955,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
05/04/07,29370.93945,10.9896,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
06/04/07,29370.93945,10.942,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
09/04/07,29632.19922,10.9708,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
10/04/07,29515.64063,10.9978,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
11/04/07,29278.75,11.0148,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
12/04/07,29606.9707,10.989,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
13/04/07,29762.2207,10.941,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
16/04/07,29718.66016,10.97,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
17/04/07,29598.99023,10.9813,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
18/04/07,29559.51953,10.972,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
19/04/07,29614.05078,10.953,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
20/04/07,29832.48047,10.937,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
23/04/07,29593.84961,10.961,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
24/04/07,29544.17969,10.9755,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
25/04/07,29444.15039,10.9279,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
26/04/07,29342.69922,10.948,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
27/04/07,29372.92969,10.877,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
30/04/07,28996.71094,10.9705,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
01/05/07,28996.71094,10.9323,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
02/05/07,29259.91992,10.9096,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
03/05/07,29752.94922,10.9103,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
04/05/07,30013.84961,10.833,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
07/05/07,29776.57031,10.8273,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
08/05/07,29572.40039,10.838,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
09/05/07,29992.83008,10.7855,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
10/05/07,29653.82031,10.8438,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
11/05/07,30058.75,10.765,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
14/05/07,29766.33008,10.749,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
15/05/07,29619.91016,10.8023,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
16/05/07,30341.25,10.7722,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
17/05/07,30478.36914,10.81,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
18/05/07,30676.33984,10.775,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
21/05/07,30708.73047,10.7595,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
22/05/07,30802.25,10.794,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
23/05/07,30869.83984,10.7886,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
24/05/07,30338.58008,10.8295,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
25/05/07,30700.00977,10.727,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
28/05/07,30928.42969,10.775,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
29/05/07,30664.73047,10.8108,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
30/05/07,31380,10.733,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
31/05/07,31398.96094,10.7405,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
01/06/07,31946.40039,10.661,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
04/06/07,32096.21094,10.7613,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
05/06/07,32271.38086,10.805,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
06/06/07,31681.75977,10.8487,0.767614852,12.41749,8,3.797376,-1.044365,3.864366336
